Project ID,affected links
0,"((63, 62),)"
1,"((194, 193), (195, 194))"
2,"((294, 295), (295, 294), (295, 308), (308, 295))"
3,"((233, 232),)"
4,"((191, 190), (192, 191))"
5,"((133, 132), (134, 133))"
6,"((145, 144),)"
7,"((185, 184), (186, 185))"
8,"((87, 86),)"
9,"((139, 138),)"
10,"((128, 127), (129, 128))"
11,"((235, 234),)"
12,"((121, 120), (122, 121))"
13,"((143, 142),)"
14,"((144, 143),)"
15,"((197, 196), (198, 197))"
16,"((65, 64), (66, 65))"
17,"((89, 88),)"
18,"((91, 90), (92, 91))"
19,"((150, 149), (151, 150))"
20,"((267, 268), (268, 267))"
21,"((141, 140),)"
22,"((136, 135),)"
23,"((188, 187), (189, 188))"
24,"((190, 63),)"
25,"((74, 73),)"
26,"((236, 235),)"
27,"((361, 378), (378, 361))"
28,"((397, 398), (398, 397), (398, 399), (399, 398))"
29,"((206, 205), (207, 206))"
30,"((131, 130),)"
31,"((132, 131),)"
32,"((269, 270), (270, 269), (270, 271), (271, 270))"
33,"((135, 134),)"
34,"((169, 168),)"
35,"((193, 192),)"
36,"((126, 125),)"
37,"((117, 116),)"
38,"((114, 113), (115, 114))"
39,"((211, 210),)"
40,"((72, 71),)"
41,"((181, 307),)"
42,"((213, 212),)"
43,"((120, 400),)"
44,"((399, 400), (400, 399))"
45,"((167, 166),)"
46,"((232, 58),)"
47,"((127, 126),)"
48,"((400, 401), (401, 400))"
49,"((140, 139),)"
50,"((253, 252),)"
51,"((123, 122),)"
52,"((125, 124),)"
53,"((124, 123),)"
54,"((73, 141),)"
55,"((146, 145),)"
56,"((130, 129),)"
57,"((84, 83), (85, 84))"
58,"((64, 63),)"
59,"((148, 147),)"
60,"((293, 89),)"
61,"((137, 136),)"
62,"((293, 294), (294, 293))"
63,"((204, 203),)"
64,"((265, 139),)"
65,"((76, 75),)"
66,"((182, 181), (183, 182))"
67,"((393, 394), (394, 393))"
68,"((168, 167),)"
69,"((245, 244),)"
70,"((149, 148),)"
71,"((86, 189),)"
72,"((221, 220), (222, 221))"
73,"((90, 89),)"
74,"((196, 195),)"
75,"((407, 408), (408, 407))"
76,"((239, 238),)"
77,"((205, 204),)"
78,"((116, 294),)"
79,"((187, 186),)"
