Project ID,p_decay,k_decay,hard due date,duration,cost
0,0.25200031573876913,11,43,3,198
1,0.27723839737700473,19,68,3,198
2,0.1768214905187051,11,60,4,264
3,0.1436798603626812,9,61,5,330
4,0.14011294629563054,5,33,4,264
5,0.13250320695988194,7,51,8,528
6,0.2611661127393745,14,52,2,132
7,0.1266617619603494,10,76,5,330
8,0.16046274748623546,6,36,5,330
9,0.27829360520445334,11,38,6,396
10,0.173978609882397,7,38,5,330
11,0.292829681553485,18,61,1,66
12,0.16201883696157893,8,48,4,264
13,0.22379091381480976,6,26,3,198
14,0.17222393944575742,9,51,4,264
15,0.2815933419533394,10,35,3,198
16,0.17075281875258952,12,69,7,462
17,0.19496892402639787,8,39,4,264
18,0.21985658577068534,7,30,9,594
19,0.2958714802534814,17,57,6,396
20,0.11061114695439755,8,69,6,396
21,0.2339084749819449,10,41,2,132
22,0.28572501185590227,19,66,7,462
23,0.09867491083241475,5,48,1,66
24,0.20002818485772877,11,53,5,330
25,0.16595639553816,13,76,7,462
26,0.2789593003271875,18,63,2,132
27,0.20014722463929502,5,24,2,132
28,0.23531045051458932,15,62,6,396
29,0.1959798157822661,10,49,5,330
30,0.23145221233608027,18,77,7,462
31,0.1700892351418588,6,34,2,132
32,0.10391482335217006,4,35,2,132
33,0.2074192266609316,6,27,3,198
34,0.17298170178219152,8,45,2,132
35,0.1932794734802883,6,29,4,264
36,0.27812167538104404,16,56,4,264
37,0.18538484942655487,13,68,7,462
38,0.15119764204973762,9,58,1,66
39,0.17114829548336274,11,62,3,198
40,0.29233104655759234,13,43,6,396
41,0.29208889030451246,20,67,4,264
42,0.2676286361293023,13,48,5,330
43,0.29208889030451246,20,67,5,330
44,0.15666234534182877,9,56,3,198
45,0.11355483373517927,4,33,5,330
46,0.1444456861117942,5,32,8,528
47,0.16483432791028463,5,28,8,528
48,0.14492462374801107,4,26,2,132
49,0.21327098892834329,10,45,2,132
50,0.20009988826677727,6,29,3,198
51,0.274056159405518,7,24,3,198
52,0.139449314245212,10,69,10,660
53,0.2406327143598901,11,45,4,264
54,0.1479867193793325,10,66,7,462
55,0.2253823409027973,11,47,4,264
56,0.16551540137334086,8,47,3,198
57,0.10834174977389921,6,53,8,528
58,0.14379277617081243,8,54,9,594
59,0.2398103579562303,16,66,4,264
60,0.2086683287143387,10,46,6,396
61,0.2107758206748258,16,75,7,462
62,0.15396800601774885,5,30,9,594
63,0.215807447943007,14,64,3,198
64,0.2955044747886859,9,30,3,198
65,0.2685864755821967,16,59,6,396
66,0.23298564015749434,6,24,4,264
67,0.2937652666023496,16,54,5,330
68,0.274056159405518,7,24,4,264
69,0.22422758840002643,17,74,5,330
70,0.10602374740665255,8,72,5,330
71,0.11738298987438611,8,66,4,264
72,0.10903853328454716,8,71,3,198
73,0.183554365145028,7,37,9,594
74,0.1700892351418588,6,34,5,330
75,0.30191974573790503,11,35,6,396
76,0.131468291996498,8,58,6,396
77,0.3008922478311433,23,75,8,528
78,0.2545558743931906,19,73,2,132
79,0.2640599193127855,16,59,3,198
