init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type
1,2,36260.280896,6,6,0.15,4,0,0,1
1,3,32764.862466,4,4,0.15,4,0,0,1
2,1,36260.280896,6,6,0.15,4,0,0,1
2,6,6941.4532991999995,5,5,0.15,4,0,0,1
3,1,32764.862466,4,4,0.15,4,0,0,1
3,4,23954.733208,4,4,0.15,4,0,0,1
3,12,32764.862466,4,4,0.15,4,0,0,1
4,3,23954.733208,4,4,0.15,4,0,0,1
4,5,24895.911739999996,2,2,0.15,4,0,0,1
4,11,6872.357421999999,6,6,0.15,4,0,0,1
5,4,24895.911739999996,2,2,0.15,4,0,0,1
5,6,6927.1936566,4,4,0.15,4,0,0,1
6,2,6941.4532991999995,5,5,0.15,4,0,0,1
6,5,6927.1936566,4,4,0.15,4,0,0,1
6,8,6858.022704399999,2,2,0.15,4,0,0,1
7,8,10978.535834,3,3,0.15,4,0,0,1
7,18,32764.862466,2,2,0.15,4,0,0,1
8,6,6858.022704399999,2,2,0.15,4,0,0,1
8,7,10978.535834,3,3,0.15,4,0,0,1
8,9,7070.2704184,10,10,0.15,4,0,0,1
8,16,7064.1516162,5,5,0.15,4,0,0,1
9,8,7070.2704184,10,10,0.15,4,0,0,1
9,10,19482.103788,3,3,0.15,4,0,0,1
10,9,19482.103788,3,3,0.15,4,0,0,1
10,11,14000.0,5,5,0.15,4,0,0,1
10,15,18916.80217,6,6,0.15,4,0,0,1
10,17,6990.914971599999,8,8,0.15,4,0,0,1
11,4,6872.357421999999,6,6,0.15,4,0,0,1
11,10,14000.0,5,5,0.15,4,0,0,1
11,14,6827.111601799999,4,4,0.15,4,0,0,1
12,3,32764.862466,4,4,0.15,4,0,0,1
12,13,36260.280896,3,3,0.15,4,0,0,1
13,12,36260.280896,3,3,0.15,4,0,0,1
13,24,7127.758612799999,4,4,0.15,4,0,0,1
14,11,6827.111601799999,4,4,0.15,4,0,0,1
14,23,6894.7068469999995,4,4,0.15,4,0,0,1
15,10,18916.80217,6,6,0.15,4,0,0,1
15,19,20390.65441,3,3,0.15,4,0,0,1
15,22,13438.852791,3,3,0.15,4,0,0,1
16,8,7064.1516162,5,5,0.15,4,0,0,1
16,17,7321.8740882,2,2,0.15,4,0,0,1
16,18,27551.855394,3,3,0.15,4,0,0,1
17,10,6990.914971599999,8,8,0.15,4,0,0,1
17,16,7321.8740882,2,2,0.15,4,0,0,1
17,19,6753.5311634,2,2,0.15,4,0,0,1
18,7,32764.862466,2,2,0.15,4,0,0,1
18,16,27551.855394,3,3,0.15,4,0,0,1
18,20,32764.862466,4,4,0.15,4,0,0,1
19,15,20390.65441,3,3,0.15,4,0,0,1
19,17,6753.5311634,2,2,0.15,4,0,0,1
19,20,7003.650588199999,4,4,0.15,4,0,0,1
20,18,32764.862466,4,4,0.15,4,0,0,1
20,19,7003.650588199999,4,4,0.15,4,0,0,1
20,21,7083.877275999999,6,6,0.15,4,0,0,1
20,22,7105.976070199999,5,5,0.15,4,0,0,1
21,20,7083.877275999999,6,6,0.15,4,0,0,1
21,22,7321.8740882,2,2,0.15,4,0,0,1
21,24,6839.500589599999,3,3,0.15,4,0,0,1
22,15,13438.852791,3,3,0.15,4,0,0,1
22,20,7105.976070199999,5,5,0.15,4,0,0,1
22,21,7321.8740882,2,2,0.15,4,0,0,1
22,23,7000.0,4,4,0.15,4,0,0,1
23,14,6894.7068469999995,4,4,0.15,4,0,0,1
23,22,7000.0,4,4,0.15,4,0,0,1
23,24,7109.9118104,2,2,0.15,4,0,0,1
24,13,7127.758612799999,4,4,0.15,4,0,0,1
24,21,6839.500589599999,3,3,0.15,4,0,0,1
24,23,7109.9118104,2,2,0.15,4,0,0,1
