Project ID,p_decay,k_decay,hard due date,duration,cost
0,0.1902401847019064,12,62,3,201
1,0.1955307984953833,9,45,3,201
2,0.2554495966815011,16,62,4,268
3,0.1751334512100584,13,73,5,335
4,0.2782936052044533,11,38,4,268
5,0.1069410117906954,4,34,8,536
6,0.2551151234783901,17,65,2,134
7,0.1325032069598819,7,51,5,335
8,0.2196399805488909,16,71,5,335
9,0.1006493005679658,6,56,6,402
10,0.2027800091618701,15,73,5,335
11,0.0986749108324147,5,48,1,67
12,0.2973147241737024,15,49,4,268
13,0.2955044747886859,9,30,3,201
14,0.2580966017721948,11,41,4,268
15,0.274056159405518,7,24,3,201
16,0.1360325525038206,5,35,7,469
17,0.1292526386769168,8,60,4,268
18,0.1539680060177488,5,30,9,603
19,0.2231135341553454,10,44,6,402
20,0.2772383973770047,19,68,6,402
21,0.3012183110022306,17,55,2,134
22,0.2431104994593624,15,61,7,469
23,0.2528089189891034,8,31,1,67
24,0.273404419867802,13,46,5,335
25,0.1779458057517331,10,54,7,469
26,0.1538694785358529,11,70,2,134
27,0.1490549264690344,5,31,2,134
28,0.1251027117232297,5,37,6,402
29,0.2589676865300134,10,38,5,335
30,0.1368742503927933,9,64,7,469
31,0.1539058862490492,7,44,2,134
32,0.274056159405518,7,24,2,134
33,0.1620188369615789,8,48,3,201
34,0.2990092080817703,10,33,2,134
35,0.1551087959942378,10,62,4,268
36,0.2000545739410881,8,38,4,268
37,0.1648343279102846,5,28,7,469
38,0.2770469456536375,14,50,1,67
39,0.1684460561100422,11,64,3,201
40,0.1955307984953833,9,45,6,402
41,0.1966525141997408,12,59,4,268
42,0.2973147241737024,15,49,5,335
43,0.1126464256831241,6,50,5,335
44,0.2403973873351788,17,70,3,201
45,0.2789593003271875,18,63,5,335
46,0.1251661994629103,4,30,8,536
47,0.2032287413730955,13,63,8,536
48,0.1729817017821915,8,45,2,134
49,0.2772383973770047,19,68,2,134
50,0.2000721761851309,7,33,3,201
51,0.2453307019586645,9,36,3,201
52,0.2000721761851309,7,33,10,670
53,0.2180812669084844,10,45,4,268
54,0.1753489843413262,6,33,7,469
55,0.1043539573274756,6,54,4,268
56,0.2228443850344774,14,62,3,201
57,0.1576376409666409,10,61,8,536
58,0.2092013225174014,14,66,9,603
59,0.289283708543735,12,40,4,268
60,0.190974158967947,13,66,6,402
61,0.1620188369615789,8,48,7,469
62,0.1707528187525895,12,69,9,603
63,0.2937652666023496,16,54,3,201
64,0.2955044747886859,9,30,3,201
65,0.2614260196078248,8,30,6,402
66,0.274056159405518,7,24,4,268
67,0.1648343279102846,5,28,5,335
68,0.1223705497050104,6,47,4,268
69,0.1539680060177488,5,30,5,335
70,0.1773507739617343,5,27,5,335
71,0.1436798603626812,9,61,4,268
72,0.2339084749819449,10,41,3,201
73,0.1813692034756968,12,65,9,603
74,0.273404419867802,13,46,5,335
75,0.1409007100355666,7,48,6,402
