Project ID,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type
0,1,2,28490.220704000003,6,6,0.15,4,0,0,1
1,1,3,25743.820509,4,4,0.15,4,0,0,1
2,2,1,28490.220704000003,6,6,0.15,4,0,0,1
3,2,6,5453.9990208,5,5,0.15,4,0,0,1
4,3,1,25743.820509,4,4,0.15,4,0,0,1
5,3,4,18821.576092000003,4,4,0.15,4,0,0,1
6,3,12,25743.820509,4,4,0.15,4,0,0,1
7,4,3,18821.576092000003,4,4,0.15,4,0,0,1
8,4,5,19561.073510000002,2,2,0.15,4,0,0,1
9,4,11,5399.709403,6,6,0.15,4,0,0,1
10,5,4,19561.073510000002,2,2,0.15,4,0,0,1
11,5,6,5442.795015900001,4,4,0.15,4,0,0,1
12,5,9,11000.0,5,5,0.15,4,0,0,1
13,6,2,5453.9990208,5,5,0.15,4,0,0,1
14,6,5,5442.795015900001,4,4,0.15,4,0,0,1
15,6,8,5388.4464106000005,2,2,0.15,4,0,0,1
16,7,8,8625.992441,3,3,0.15,4,0,0,1
17,7,18,25743.820509,2,2,0.15,4,0,0,1
18,8,6,5388.4464106000005,2,2,0.15,4,0,0,1
19,8,7,8625.992441,3,3,0.15,4,0,0,1
20,8,9,5555.212471600001,10,10,0.15,4,0,0,1
21,8,16,5550.404841300001,5,5,0.15,4,0,0,1
22,9,5,11000.0,5,5,0.15,4,0,0,1
23,9,8,5555.212471600001,10,10,0.15,4,0,0,1
24,9,10,15307.367262000002,3,3,0.15,4,0,0,1
25,10,9,15307.367262000002,3,3,0.15,4,0,0,1
26,10,11,11000.0,5,5,0.15,4,0,0,1
27,10,15,14863.201705000001,6,6,0.15,4,0,0,1
28,10,16,5340.409488700001,4,4,0.15,4,0,0,1
29,10,17,5492.8617634,8,8,0.15,4,0,0,1
30,11,4,5399.709403,6,6,0.15,4,0,0,1
31,11,10,11000.0,5,5,0.15,4,0,0,1
32,11,12,5399.709403,6,6,0.15,4,0,0,1
33,11,14,5364.1591157,4,4,0.15,4,0,0,1
34,12,3,25743.820509,4,4,0.15,4,0,0,1
35,12,11,5399.709403,6,6,0.15,4,0,0,1
36,12,13,28490.220704000003,3,3,0.15,4,0,0,1
37,13,12,28490.220704000003,3,3,0.15,4,0,0,1
38,13,24,5600.3817672000005,4,4,0.15,4,0,0,1
39,14,11,5364.1591157,4,4,0.15,4,0,0,1
40,14,15,5640.2787309000005,5,5,0.15,4,0,0,1
41,14,23,5417.269665500001,4,4,0.15,4,0,0,1
42,15,10,14863.201705000001,6,6,0.15,4,0,0,1
43,15,14,5640.2787309000005,5,5,0.15,4,0,0,1
44,15,19,16021.228465000002,3,3,0.15,4,0,0,1
45,15,22,10559.098621500001,3,3,0.15,4,0,0,1
46,16,8,5550.404841300001,5,5,0.15,4,0,0,1
47,16,10,5340.409488700001,4,4,0.15,4,0,0,1
48,16,17,5752.901069300001,2,2,0.15,4,0,0,1
49,16,18,21647.886381000004,3,3,0.15,4,0,0,1
50,17,10,5492.8617634,8,8,0.15,4,0,0,1
51,17,16,5752.901069300001,2,2,0.15,4,0,0,1
52,17,19,5306.3459141,2,2,0.15,4,0,0,1
53,18,7,25743.820509,2,2,0.15,4,0,0,1
54,18,16,21647.886381000004,3,3,0.15,4,0,0,1
55,18,20,25743.820509,4,4,0.15,4,0,0,1
56,19,15,16021.228465000002,3,3,0.15,4,0,0,1
57,19,17,5306.3459141,2,2,0.15,4,0,0,1
58,19,20,5502.8683193,4,4,0.15,4,0,0,1
59,20,18,25743.820509,4,4,0.15,4,0,0,1
60,20,19,5502.8683193,4,4,0.15,4,0,0,1
61,20,21,5565.903574,6,6,0.15,4,0,0,1
62,20,22,5583.2669123000005,5,5,0.15,4,0,0,1
63,21,20,5565.903574,6,6,0.15,4,0,0,1
64,21,22,5752.901069300001,2,2,0.15,4,0,0,1
65,21,24,5373.8933204,3,3,0.15,4,0,0,1
66,22,15,10559.098621500001,3,3,0.15,4,0,0,1
67,22,20,5583.2669123000005,5,5,0.15,4,0,0,1
68,22,21,5752.901069300001,2,2,0.15,4,0,0,1
69,22,23,5500.0,4,4,0.15,4,0,0,1
70,23,14,5417.269665500001,4,4,0.15,4,0,0,1
71,23,22,5500.0,4,4,0.15,4,0,0,1
72,23,24,5586.3592796,2,2,0.15,4,0,0,1
73,24,13,5600.3817672000005,4,4,0.15,4,0,0,1
74,24,21,5373.8933204,3,3,0.15,4,0,0,1
75,24,23,5586.3592796,2,2,0.15,4,0,0,1
