Project ID,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type
0,1,2,2590020.064,6,6,0.15,4,0,0,1
1,1,3,2340347.319,4,4,0.15,4,0,0,1
2,2,1,2590020.064,6,6,0.15,4,0,0,1
3,2,6,495818.0928,5,5,0.15,4,0,0,1
4,3,1,2340347.319,4,4,0.15,4,0,0,1
5,3,4,1711052.3720000002,4,4,0.15,4,0,0,1
6,3,12,2340347.319,4,4,0.15,4,0,0,1
7,4,3,1711052.3720000002,4,4,0.15,4,0,0,1
8,4,5,1778279.41,2,2,0.15,4,0,0,1
9,4,11,490882.67299999995,6,6,0.15,4,0,0,1
10,5,4,1778279.41,2,2,0.15,4,0,0,1
11,5,6,494799.5469,4,4,0.15,4,0,0,1
12,5,9,1000000.0,5,5,0.15,4,0,0,1
13,6,2,495818.0928,5,5,0.15,4,0,0,1
14,6,5,494799.5469,4,4,0.15,4,0,0,1
15,6,8,489858.7646,2,2,0.15,4,0,0,1
16,7,8,784181.131,3,3,0.15,4,0,0,1
17,7,18,2340347.319,2,2,0.15,4,0,0,1
18,8,6,489858.7646,2,2,0.15,4,0,0,1
19,8,7,784181.131,3,3,0.15,4,0,0,1
20,8,9,505019.31560000003,10,10,0.15,4,0,0,1
21,8,16,504582.2583,5,5,0.15,4,0,0,1
22,9,5,1000000.0,5,5,0.15,4,0,0,1
23,9,8,505019.31560000003,10,10,0.15,4,0,0,1
24,9,10,1391578.8420000002,3,3,0.15,4,0,0,1
25,10,9,1391578.8420000002,3,3,0.15,4,0,0,1
26,10,11,1000000.0,5,5,0.15,4,0,0,1
27,10,15,1351200.155,6,6,0.15,4,0,0,1
28,10,16,485491.77170000004,4,4,0.15,4,0,0,1
29,10,17,499351.0694,8,8,0.15,4,0,0,1
30,11,4,490882.67299999995,6,6,0.15,4,0,0,1
31,11,10,1000000.0,5,5,0.15,4,0,0,1
32,11,12,490882.67299999995,6,6,0.15,4,0,0,1
33,11,14,487650.82869999995,4,4,0.15,4,0,0,1
34,12,3,2340347.319,4,4,0.15,4,0,0,1
35,12,11,490882.67299999995,6,6,0.15,4,0,0,1
36,12,13,2590020.064,3,3,0.15,4,0,0,1
37,13,12,2590020.064,3,3,0.15,4,0,0,1
38,13,24,509125.6152,4,4,0.15,4,0,0,1
39,14,11,487650.82869999995,4,4,0.15,4,0,0,1
40,14,15,512752.6119,5,5,0.15,4,0,0,1
41,14,23,492479.0605,4,4,0.15,4,0,0,1
42,15,10,1351200.155,6,6,0.15,4,0,0,1
43,15,14,512752.6119,5,5,0.15,4,0,0,1
44,15,19,1456475.315,3,3,0.15,4,0,0,1
45,15,22,959918.0565000001,3,3,0.15,4,0,0,1
46,16,8,504582.2583,5,5,0.15,4,0,0,1
47,16,10,485491.77170000004,4,4,0.15,4,0,0,1
48,16,17,522991.0063,2,2,0.15,4,0,0,1
49,16,18,1967989.671,3,3,0.15,4,0,0,1
50,17,10,499351.0694,8,8,0.15,4,0,0,1
51,17,16,522991.0063,2,2,0.15,4,0,0,1
52,17,19,482395.0831,2,2,0.15,4,0,0,1
53,18,7,2340347.319,2,2,0.15,4,0,0,1
54,18,16,1967989.671,3,3,0.15,4,0,0,1
55,18,20,2340347.319,4,4,0.15,4,0,0,1
56,19,15,1456475.315,3,3,0.15,4,0,0,1
57,19,17,482395.0831,2,2,0.15,4,0,0,1
58,19,20,500260.75629999995,4,4,0.15,4,0,0,1
59,20,18,2340347.319,4,4,0.15,4,0,0,1
60,20,19,500260.75629999995,4,4,0.15,4,0,0,1
61,20,21,505991.234,6,6,0.15,4,0,0,1
62,20,22,507569.7193,5,5,0.15,4,0,0,1
63,21,20,505991.234,6,6,0.15,4,0,0,1
64,21,22,522991.0063,2,2,0.15,4,0,0,1
65,21,24,488535.7564,3,3,0.15,4,0,0,1
66,22,15,959918.0565000001,3,3,0.15,4,0,0,1
67,22,20,507569.7193,5,5,0.15,4,0,0,1
68,22,21,522991.0063,2,2,0.15,4,0,0,1
69,22,23,500000.0,4,4,0.15,4,0,0,1
70,23,14,492479.0605,4,4,0.15,4,0,0,1
71,23,22,500000.0,4,4,0.15,4,0,0,1
72,23,24,507850.8436,2,2,0.15,4,0,0,1
73,24,13,509125.6152,4,4,0.15,4,0,0,1
74,24,21,488535.7564,3,3,0.15,4,0,0,1
75,24,23,507850.8436,2,2,0.15,4,0,0,1
